Date,Open,High,Low,Close,Adjusted_close,Volume
2022-02-22,431.89,435.5,425.86,429.57,426.3979,124391797
2022-02-23,432.66,433.26,421.35,421.95,418.8341,132578000
2022-02-24,411.02,428.76,410.64,428.3,425.1372,213942891
2022-02-25,429.61,437.84,427.86,437.75,434.5174,121804492
2022-02-28,432.03,438.2,430.7,436.63,433.4057,145615016
2022-03-01,435.04,437.17,427.11,429.98,426.8048,137785906
2022-03-02,432.37,439.72,431.57,437.89,434.6564,117726492
2022-03-03,440.47,441.11,433.8,435.71,432.4925,105501695
2022-03-04,431.75,433.37,427.88,432.17,428.9787,114083297
2022-03-07,431.55,432.3018,419.36,419.43,416.3327,137896609
2022-03-08,419.62,427.21,415.12,416.25,413.1762,164772703
2022-03-09,425.14,429.51,422.82,427.41,424.2538,116990797
2022-03-10,422.52,426.43,420.44,425.48,422.3381,93972656
2022-03-11,428.12,428.77,419.53,420.07,416.968,95636281
2022-03-14,420.89,424.55,415.79,417,413.9207,95729195
2022-03-15,419.77,426.84,418.42,426.17,423.023,106219102
2022-03-16,429.89,435.68,424.8,435.62,432.4032,144954797
2022-03-17,433.59,441.07,433.19,441.07,437.8129,102676898
2022-03-18,438,444.86,437.22,444.52,442.6082,106345508
2022-03-21,444.34,446.46,440.68,444.39,442.4788,88349758
2022-03-22,445.86,450.58,445.86,449.59,447.6564,74650391
2022-03-23,446.91,448.49,443.71,443.8,441.8913,79426094
2022-03-24,445.94,450.5,444.76,450.49,448.5526,64736887
2022-03-25,451.16,452.98,448.43,452.69,450.7431,77101320
2022-03-28,452.06,455.91,450.06,455.91,453.9492,68529766
2022-03-29,460.02,462.07,457.18,461.55,459.565,86581539
2022-03-30,460.34,461.195,456.465,458.7,456.7272,79666945
2022-03-31,457.89,458.76,451.16,451.64,449.6976,121699906
2022-04-01,453.31,453.46,449.14,452.92,450.9721,89048766
2022-04-04,453.13,456.91,452.26,456.8,454.8354,59601000
2022-04-05,455.22,457.83,449.82,451.03,449.0902,74214492
2022-04-06,446.89,448.93,443.47,446.52,444.5996,106898000
2022-04-07,445.59,450.69,443.53,448.77,446.84,78097211
2022-04-08,447.97,450.63,445.94,447.57,445.6451,79272711
2022-04-11,444.11,445,439.39,439.92,438.028,89770547
2022-04-12,443.08,445.75,436.6501,438.29,436.405,84363641
2022-04-13,438.03,444.11,437.84,443.31,441.4034,74070391
2022-04-14,443.55,444.7301,437.68,437.79,435.9072,97869445
2022-04-18,436.81,439.75,435.61,437.97,436.0864,66002500
2022-04-19,437.86,445.8,437.68,445.04,443.126,77821008
2022-04-20,446.92,447.57,443.48,444.71,442.7974,65224449
2022-04-21,448.54,450.01,437.1,438.06,436.176,85417328
2022-04-22,436.91,438.0825,425.44,426.04,424.2077,132471797
2022-04-25,423.67,428.69,418.84,428.51,426.6671,119647695
2022-04-26,425.83,426.04,416.07,416.1,414.3105,103996305
2022-04-27,417.24,422.92,415.01,417.27,415.4754,122030000
2022-04-28,422.29,429.64,417.6,427.81,425.9701,105449102
2022-04-29,423.59,425.87,411.21,412,410.2281,145491109
2022-05-02,412.07,415.92,405.02,414.48,412.6974,158312500
2022-05-03,415.01,418.93,413.36,416.38,414.5893,100028203
2022-05-04,417.08,429.66,413.7099,429.06,427.2147,144247906
2022-05-05,424.55,425,409.44,413.81,412.0303,172929109
2022-05-06,411.1,414.8,405.73,411.34,409.5709,151770797
2022-05-09,405.1,406.41,396.5,398.17,396.4576,155586094
2022-05-10,404.49,406.08,394.82,399.09,397.3736,132497203
2022-05-11,398.07,404.04,391.96,392.75,391.0609,142360984
2022-05-12,389.37,395.8,385.15,392.34,390.6526,125090797
2022-05-13,396.71,403.18,395.61,401.72,399.9923,104174398
2022-05-16,399.98,403.97,397.6,400.09,398.3693,78622438
2022-05-17,406.53,408.57,402.5824,408.32,406.5639,83029711
2022-05-18,403.5,403.8,390.55,391.86,390.1747,117674492
2022-05-19,388.62,394.14,387.11,389.46,387.785,98510719
2022-05-20,393.25,397.03,380.54,389.63,387.9543,131432203
2022-05-23,392.83,397.73,390.38,396.92,395.2129,76414883
2022-05-24,392.56,395.15,386.96,393.89,392.196,91448828
2022-05-25,392.31,399.45,391.89,397.37,395.661,91472875
2022-05-26,398.67,407.04,398.45,405.31,403.5669,82168336
2022-05-27,407.91,415.3801,407.7,415.26,413.4741,84768711
2022-05-31,413.55,416.46,410.03,412.93,411.1541,95936977
2022-06-01,415.17,416.24,406.93,409.59,407.8285,86585805
2022-06-02,409.42,417.44,407.04,417.39,415.5949,79609633
2022-06-03,412.4,414.04,409.51,410.54,408.7744,71874281
2022-06-06,414.78,416.609,410.5523,411.79,410.019,57508859
2022-06-07,408.1,416.22,407.61,415.74,413.952,59272367
2022-06-08,413.93,415.82,410.38,411.22,409.4514,64349969
2022-06-09,409.34,411.74,401.44,401.44,399.7135,86289797
2022-06-10,394.88,395.7777,389.75,389.8,388.1236,132893906
2022-06-13,379.85,381.81,373.3,375,373.3872,170004891
2022-06-14,376.85,377.94,370.59,373.87,372.2621,104011797
2022-06-15,377.36,383.9,372.12,379.2,377.5692,125666797
2022-06-16,370.51,370.94,364.0799,366.65,365.0731,134473297
2022-06-17,365.51,369.38,362.17,365.86,365.86,111113906
2022-06-21,371.89,376.525,371.81,375.07,375.07,76811859
2022-06-22,370.62,378.72,370.18,374.39,374.39,90059422
2022-06-23,376.64,378.83,372.89,378.06,378.06,79292141
2022-06-24,381.4,390.09,381.365,390.08,390.08,98050328
2022-06-27,391.05,391.36,387.44,388.59,388.59,66009600
2022-06-28,390.23,393.16,380.53,380.65,380.65,86548900
2022-06-29,381.23,382.27,378.42,380.34,380.34,65676000
2022-06-30,376.24,380.66,372.56,377.25,377.25,112508300
2022-07-01,376.56,381.7,373.8,381.24,381.24,74792100
2022-07-05,375.88,381.98,372.9,381.96,381.96,81438000
2022-07-06,382.11,385.87,379.6,383.25,383.25,70426200
2022-07-07,385.12,389.83,383.27,388.99,388.99,64525900
2022-07-08,387.27,390.64,385.66,388.67,388.67,72332300
2022-07-11,385.85,386.87,383.5,384.23,384.23,58366900
2022-07-12,383.65,386.16,378.99,380.83,380.83,62219200
2022-07-13,375.1,381.92,374.66,378.83,378.83,84224600
2022-07-14,373.61,379.05,371.04,377.91,377.91,89704800
2022-07-15,382.55,385.25,380.54,385.13,385.13,79016800
2022-07-18,388.38,389.09,380.66,381.95,381.95,63203600
2022-07-19,386.08,392.87,385.39,392.27,392.27,78506000
2022-07-20,392.47,396.26,391.03,394.77,394.77,71843800
2022-07-21,394.16,398.84,391.63,398.79,398.79,64903900
2022-07-22,398.92,400.18,392.75,395.09,395.09,72130300
2022-07-25,395.75,396.47,393.21,395.57,395.57,53631500
2022-07-26,393.84,394.06,389.95,390.89,390.89,52946400
2022-07-27,394.36,402.88,394.05,401.04,401.04,82342100
2022-07-28,401.89,406.8,398.15,406.07,406.07,73966600
2022-07-29,407.58,413.03,406.77,411.99,411.99,86921200
2022-08-01,409.15,413.41,408.4,410.77,410.77,69997500
2022-08-02,409.12,413,406.82,408.06,408.06,63435400
2022-08-03,410.3,415.68,410,414.45,414.45,67820600
2022-08-04,414.37,415.09,412.44,414.17,414.17,45656600
2022-08-05,409.66,414.15,409.6,413.47,413.47,56755600
2022-08-08,415.25,417.62,411.83,412.99,412.99,53886100
2022-08-09,412.22,412.75,410.22,411.35,411.35,44931800
2022-08-10,418.78,420.14,416.72,419.99,419.99,68665700
2022-08-11,422.99,424.95,419.21,419.99,419.99,59489700
2022-08-12,422.03,427.21,421.03,427.1,427.1,61644600
2022-08-15,424.77,429.41,424.71,428.86,428.86,54048300
2022-08-16,427.73,431.73,426.88,429.7,429.7,59289000
2022-08-17,425.91,429.5,424.54,426.65,426.65,63563400
2022-08-18,426.86,428.61,425.5,427.89,427.89,49023200
2022-08-19,424.98,425.26,421.22,422.14,422.14,67934700
2022-08-22,417.05,417.23,412.4,413.35,413.35,77695600
2022-08-23,412.9,415.4199,411.77,412.35,412.35,45445291
