Date,Open,High,Low,Close,Adjusted_close,Volume
2021-08-25,448.17,449.457,447.77,448.91,442.6137,40529711
2021-08-26,448.61,448.86,446.16,446.26,440.0008,57829566
2021-08-27,447.12,450.65,447.06,450.25,443.9349,77235109
2021-08-30,450.97,453.07,450.71,452.23,445.8871,48357359
2021-08-31,452.13,452.49,450.92,451.56,445.2265,59300207
2021-09-01,452.56,453.11,451.545,451.8,445.4631,48721379
2021-09-02,453.32,454.05,451.91,453.19,446.8336,42830871
2021-09-03,451.98,453.63,451.55,453.08,446.7252,47234359
2021-09-07,452.71,452.81,450.7423,451.46,445.1279,51671527
2021-09-08,450.89,451.67,448.86,450.91,444.5856,56181910
2021-09-09,450.7,452.57,448.72,448.98,442.6827,57970406
2021-09-10,451.04,451.49,445.31,445.44,439.1923,89948172
2021-09-13,448.64,448.92,444.11,446.58,440.3164,83738648
2021-09-14,448.12,448.34,443.22,444.17,437.9402,78197133
2021-09-15,444.62,448.41,443.44,447.88,441.5981,78792227
2021-09-16,447.32,448.36,444.02,447.17,440.8981,77786734
2021-09-17,444.92,445.37,441.02,441.4,436.6034,118425000
2021-09-20,434.88,436.56,428.86,434.04,429.3234,166445500
2021-09-21,436.53,437.91,433.07,433.63,428.9178,92526109
2021-09-22,436.05,440.03,433.747,437.86,433.1019,102350094
2021-09-23,439.85,444.89,439.6,443.18,438.364,76395984
2021-09-24,441.44,444.67,441.21,443.91,439.0861,62094840
2021-09-27,442.81,444.05,441.9,442.64,437.8299,61371113
2021-09-28,439.69,440.04,432.94,433.72,429.0068,130436305
2021-09-29,435.19,437.04,433.85,434.45,429.7289,82329211
2021-09-30,436.02,436.77,428.78,429.14,424.4766,140506000
2021-10-01,430.98,436.0329,427.23,434.24,429.5212,129240094
2021-10-04,433,433.96,426.36,428.64,423.982,128570000
2021-10-05,430.24,435.49,429.39,433.1,428.3936,90682523
2021-10-06,429.27,435.1199,427.54,434.9,430.174,113032203
2021-10-07,438.39,441.68,438.2,438.66,433.8932,72437508
2021-10-08,439.48,439.89,437.19,437.86,433.1019,74557398
2021-10-11,437.16,440.26,434.62,434.69,429.9663,65233289
2021-10-12,435.67,436.1,432.78,433.62,428.9079,71181156
2021-10-13,434.71,436.05,431.54,435.18,430.451,72973984
2021-10-14,439.08,442.66,438.58,442.5,437.6914,70236828
2021-10-15,444.75,446.26,444.09,445.87,441.0248,66260211
2021-10-18,443.97,447.55,443.27,447.19,442.3305,62213230
2021-10-19,448.92,450.71,448.27,450.64,445.743,46996832
2021-10-20,451.13,452.732,451.01,452.41,447.4937,49571566
