Date,Open,High,Low,Close,Adjusted_close,Volume
2018-01-02,267.84,268.81,267.4,268.77,248.9176,86655750
2018-01-03,268.96,270.64,268.96,270.47,250.4921,90070414
2018-01-04,271.2,272.16,270.5447,271.61,251.5479,80636406
2018-01-05,272.51,273.56,271.95,273.42,253.2242,83524000
2018-01-08,273.31,274.1,272.98,273.92,253.6872,57319191
2018-01-09,274.4,275.25,274.081,274.54,254.2614,57253961
2018-01-10,273.68,274.42,272.92,274.12,253.8725,69574320
2018-01-11,274.75,276.12,274.56,276.12,255.7247,62361461
2018-01-12,276.42,278.11,276.0819,277.92,257.3918,90816078
2018-01-16,279.35,280.09,276.18,276.97,256.512,106555102
2018-01-17,278.03,280.05,276.97,279.61,258.9569,113258797
2018-01-18,279.48,279.96,278.58,279.14,258.5217,100728000
2018-01-19,279.8,280.41,279.14,280.41,259.6979,140920094
2018-01-22,280.17,282.69,280.11,282.69,261.8094,91322406
2018-01-23,282.74,283.62,282.37,283.29,262.3651,97084703
2018-01-24,284.02,284.7,281.84,283.18,262.2633,134816094
2018-01-25,284.16,284.27,282.405,283.3,262.3744,84587312
2018-01-26,284.25,286.6285,283.96,286.58,265.4121,107743102
2018-01-29,285.93,286.43,284.5,284.68,263.6525,90118336
2018-01-30,282.6,284.736,281.22,281.76,260.9481,131796406
2018-01-31,282.73,283.3,280.68,281.9,261.0778,118948094
2018-02-01,281.07,283.06,280.68,281.58,260.7814,90102469
2018-02-02,280.08,280.23,275.41,275.45,255.1042,173174797
2018-02-05,273.45,275.85,263.31,263.93,244.4351,294681781
2018-02-06,259.94,269.7,258.7,269.13,249.251,355026812
2018-02-07,268.5,272.36,267.58,267.67,247.8989,167376094
2018-02-08,268.01,268.17,257.59,257.63,238.6005,246449500
2018-02-09,260.8,263.61,252.92,261.5,242.1846,283565312
2018-02-12,263.83,267.01,261.6644,265.34,245.741,143736000
2018-02-13,263.97,266.62,263.31,266,246.3522,81223641
2018-02-14,264.31,270,264.3,269.59,249.6771,120735695
2018-02-15,271.57,273.04,268.77,273.03,252.863,111200305
2018-02-16,272.32,275.32,272.27,273.11,252.9371,160420094
2018-02-20,272.03,273.67,270.5,271.4,251.3534,86369664
2018-02-21,271.9,274.72,269.94,270.05,250.1031,98883742
2018-02-22,271.1,273.05,269.64,270.4,250.4272,110511297
2018-02-23,271.79,274.71,271.25,274.71,254.4189,92766430
2018-02-26,275.93,278.01,275.26,277.9,257.3733,86491406
2018-02-27,278.11,278.92,274.36,274.43,254.1596,99099172
2018-02-28,275.68,276.19,271.29,271.65,251.5849,121907797
2018-03-01,271.41,273.17,266,267.7,247.9267,176855109
2018-03-02,265.8,269.72,264.82,269.08,249.2047,139083203
2018-03-05,267.73,272.89,267.61,272.19,252.085,97307391
2018-03-06,273.3,273.39,271.18,272.88,252.7241,79213156
2018-03-07,270.42,273.18,270.2,272.78,252.6314,87063508
2018-03-08,273.55,274.24,272.42,274.1,253.8539,66901148
2018-03-09,275.7,278.87,275.34,278.87,258.2716,113625297
2018-03-12,279.2,279.91,278.0801,278.52,257.9475,71924789
2018-03-13,279.84,280.41,276.03,276.72,256.2804,91968945
2018-03-14,277.81,278.02,274.67,275.3,254.9653,105895102
2018-03-15,275.88,276.61,274.43,275,254.6875,83433039
2018-03-16,274.5,275.39,274.14,274.2,254.9634,100343695
2018-03-19,273.35,274.3957,268.62,270.49,251.5137,109208398
2018-03-20,270.94,271.67,270.18,270.95,251.9414,59757273
2018-03-21,270.9,273.27,270.19,270.43,251.4579,78709586
2018-03-22,267.91,268.87,263.36,263.67,245.1722,148785906
2018-03-23,264.17,265.02,257.83,258.05,239.9464,183534797
